Y,X8,X9,X11,X14
12.08320998,-20.0,6,378,1042.8
12.4337536,32.9,0,595,83.55
11.65918125,45.4,0,210,134.29
15.44998929,29.0,26,1353,736.77
12.80539269,35.0,1,790,407.42
12.29172784,33.5,0,649,32.9
11.37744998,36.6,0,643,139.91
12.66242268,26.8,139,370,457.99
14.81521124,44.2,0,1377,93.4
14.61394335,33.6,0,594,24.2
12.46221929,38.5,1,912,302.97
12.56411998,35.7,0,910,35.21
14.89894335,-6.0,1,1364,294.1
12.1787536,27.5,0,564,36.0
12.2783,32.4,19,257,649.74
16.05090251,29.6,0,721,306.97
10.17527251,30.6,12,563,49.19
12.40721929,37.7,0,1399,49.98
13.89339269,32.6,31,377,382.67
13.66103,34.0,0,841,42.46
13.41221929,35.2,0,1042,8.97
12.24411998,43.4,0,684,62.92
12.75077998,33.2,1,753,110.18
13.65718125,20.8,0,731,310.84
12.42103,30.9,0,489,80.63
10.54411998,32.8,6,771,437.88
11.36411998,29.5,-50,659,90.71
13.18911998,42.6,1,993,49.53
14.13945804,38.3,5,603,137.35
13.6787536,26.0,0,457,58.15
12.73103,42.4,1,1054,131.65
12.97027269,41.4,34,327,905.2
11.96103,27.4,47,747,350.07
12.07918125,29.8,1,604,372.33
12.31021124,33.9,0,856,-23.2
12.07112804,34.1,0,1294,124.5
11.89544892,45.1,5,906,84.05
12.02705999,37.8,7,481,36.84
12.07411998,46.9,0,650,81.26
17.51221929,46.4,0,838,139.59
14.21672784,39.2,-49,552,250.64
14.32308999,36.9,0,479,32.85
14.5237536,23.7,25,615,135.12
13.67918125,40.7,0,1104,28.63
13.52897,36.7,1,783,146.53
14.33727784,51.6,41,544,576.83
12.12649929,30.7,2,1058,449.5
13.63221929,42.7,28,1032,87.95
13.8973236,-7.3,5,707,447.72
12.23509804,36.9,50,456,36.36
13.53377892,37.6,1,598,288.81
10.9187536,37.8,8,921,212.53
13.85139269,37.5,0,1075,63.49
11.57418125,37.5,0,430,95.52
13.05058999,22.8,17,637,244.76
12.99518125,36.2,4,708,384.09
11.35118125,36.1,1,1256,381.76
11.80009804,17.0,19,742,520.64
13.18711998,36.8,5,803,902.46
13.20411998,44.5,0,935,39.07
12.27103,-3.0,120,365,494.06
13.31259804,28.6,35,313,241.33
14.0823,33.6,2,748,103.28
10.17609126,37.7,1,810,197.5
11.50103,38.0,49,844,129.05
13.24251335,88.7,7,554,574.81
12.03221929,32.2,0,926,118.04
14.51221929,28.1,0,563,55.18
13.70411998,35.8,0,873,43.19
11.22897,47.6,0,976,19.25
16.05527251,31.3,0,690,65.61
9.589029996,22.8,1,459,561.93
9.354119983,26.7,1,1024,85.55
11.44099125,33.3,26,620,1060.02
16.28911998,40.4,1,408,157.23
12.85021124,41.3,0,1247,14.12
11.65245,28.7,2,532,717.54
12.59996269,28.1,1,538,334.02
9.421619983,35.2,1,851,307.62
15.87911998,46.7,0,898,168.93
10.70021124,44.1,0,428,88.78
13.24887929,21.3,55,641,337.44
13.09897,84.4,50,703,45.19
14.62611998,39.7,39,557,346.42
12.58121929,36.9,68,1045,741.39
13.24394335,38.8,0,888,48.89
13.16887929,33.1,1,731,300.52
12.88554929,24.7,3,736,134.45
12.71754804,48.1,1,600,460.65
15.43077998,25.2,1,812,426.99
13.89721929,37.2,2,942,291.33
11.21603,28.6,93,725,87.74
11.79918125,-8.9,1,685,261.16
13.65221929,52.4,8,531,201.4
14.24411998,40.0,0,369,134.15
12.01918125,24.9,1,723,398.33
13.20744998,23.7,0,669,202.66
14.50411998,39.2,0,544,100.18
13.13221929,40.0,0,527,7.38
12.71411998,36.0,2,564,422.99
12.98411998,40.3,0,593,43.11
13.57527251,46.9,1,530,186.53
11.06066,31.1,23,1041,1304.35
10.57793125,30.8,1,713,790.38
13.07221929,22.8,1,666,129.17
16.65804929,23.4,48,944,788.6
15.1087536,44.9,0,790,60.56
12.18294335,34.4,132,1164,864.9
13.77894335,53.9,1,622,475.25
15.27501998,28.2,48,536,942.74
16.62744998,28.4,3,321,494.97
13.87509804,-18.6,2,1195,356.39
12.26509804,73.3,51,489,252.96
15.92411998,28.8,1,677,341.54
11.48411998,45.9,0,793,24.91
10.99309804,37.6,121,657,267.4
11.72505784,35.1,2,647,292.32
12.53609126,32.9,0,571,39.32
7.855272505,35.4,0,564,22.01
11.05603,35.3,107,669,159.74
10.86103,58.0,0,721,21.39
13.70563,35.4,22,698,531.99
11.23509804,45.4,0,770,31.65
14.57639269,42.1,-50,444,167.08
12.14727335,25.6,0,835,144.61
11.99077998,46.0,5,1584,221.55
12.79021124,47.4,0,1064,108.24
13.28221929,34.3,0,398,244.29
11.99411998,27.2,0,530,133.61
11.60212125,28.4,38,1369,377.5
13.45918125,24.2,0,245,47.01
12.92411998,85.5,46,553,33.32
12.98172784,-25.4,1,443,242.94
14.12112804,40.0,1,538,443.38
15.08918125,48.2,0,695,93.35
12.11808999,40.8,0,216,187.2
12.54103,37.8,0,253,6.71
14.00945804,28.7,1,612,271.12
11.47918125,52.9,0,704,23.41
12.68924251,42.9,1,721,82.96
11.51394335,32.1,1,344,121.63
11.15609126,40.9,0,508,48.56
13.49862804,38.6,1,1287,314.86
13.88411998,48.9,0,512,36.93
12.04539269,31.2,21,584,336.4
12.83539269,31.2,5,860,459.03
11.28103,30.7,2,436,148.65
12.12712125,45.6,1,884,335.57
12.61563,31.9,0,652,313.86
12.1787536,29.2,0,614,60.82
11.78077998,29.5,1,794,281.47
12.82394335,32.4,0,826,121.36
12.39666,34.4,0,1392,177.28
13.76911998,37.1,1,697,81.41
12.78759804,81.8,21,464,173.32
13.77612804,40.3,6,858,88.93
11.77521124,41.1,1,265,107.16
13.95612804,3.6,1,941,286.75
14.35021124,42.8,0,497,216.23
13.09742268,37.3,0,537,201.18
12.02221929,33.4,0,404,52.89
11.61618125,8.7,61,562,699.5
12.65670268,39.9,4,317,719.79
13.87221929,37.2,0,913,39.87
13.43021124,95.7,0,601,34.85
12.73394335,49.2,0,1000,46.31
14.5087536,34.6,0,812,49.76
13.54223804,44.0,2,1039,598.88
13.39918125,42.9,0,511,93.62
12.61251125,31.4,1,885,128.83
15.55721929,28.4,-49,1053,171.57
12.45103,30.5,0,831,172.95
10.85918125,39.8,1,1077,230.8
13.86221929,35.0,0,444,116.1
12.99527251,16.9,0,628,306.16
14.35897,36.7,0,609,31.54
13.43894335,39.0,0,431,219.28
12.54641999,44.0,4,679,131.5
15.255,23.0,0,548,268.12
12.48612804,30.0,0,336,45.39
14.10411998,93.4,33,432,514.66
13.13411998,35.2,3,995,162.96
11.06411998,39.3,17,532,300.58
15.73744998,47.2,0,587,358.45
15.26221929,39.9,1,776,148.24
12.51103,30.6,0,1028,85.63
11.7987536,50.8,0,361,81.38
13.2423,34.9,2,566,216.26
11.39603,39.5,122,798,303.49
13.2487536,28.1,38,1214,302.12
12.10436,43.8,0,439,281.58
10.08501425,29.6,48,477,1059.57
13.08842804,36.7,0,579,250.06
12.57212125,45.9,0,485,111.56
12.76205999,23.9,1,1271,147.83
10.85411998,41.4,0,716,66.88
11.85134804,39.5,52,1234,634.25
12.41712125,37.6,1,886,57.94
14.62687124,44.2,2,1172,188.37
8.914119983,29.5,0,321,58.14
12.08718125,28.6,30,475,386.64
12.60918125,51.1,0,429,11.01
13.34697,29.5,36,734,473.88
15.57744998,30.5,0,452,388.66
13.55411998,34.0,0,1074,120.64
12.03411998,43.6,0,1025,86.31
15.72172784,41.0,0,1007,52.0
11.13411998,30.8,0,359,28.11
14.21918125,34.5,0,749,103.17
12.46411998,25.2,0,459,64.05
12.62103,19.8,0,671,49.82
13.49712125,25.6,0,716,53.89
13.13721929,33.3,6,607,562.73
14.03411998,42.4,0,940,156.89
11.29139269,41.5,0,456,122.38
12.78009804,44.4,61,462,92.88
12.04394335,47.0,0,903,89.55
15.35577998,38.3,1,391,469.2
11.59918125,34.3,0,559,177.55
11.86118125,26.6,1,572,491.07
13.31852251,35.2,54,531,378.36
10.79509804,34.2,1,1109,418.28
15.54021124,44.2,0,638,116.43
13.45645125,41.6,97,1644,566.89
16.1487536,27.7,0,709,126.85
11.9487536,38.7,0,430,21.32
15.37411998,38.2,0,910,67.85
16.42411998,44.1,1,698,124.75
12.66509804,28.9,0,608,61.19
13.75522998,21.4,19,840,1545.88
11.28672784,32.0,50,999,108.67
13.81472269,34.7,22,724,418.1
10.25745298,30.0,0,495,244.65
11.82103,44.6,89,537,496.42
11.80411998,37.3,0,362,71.25
8.78565125,19.9,0,837,284.74
12.47897,34.1,0,929,68.24
12.48077998,37.7,1,540,197.35
11.02661998,21.0,26,541,186.08
12.55811998,21.1,-24,722,632.72
13.3287536,28.5,0,1027,171.83
11.96918125,40.6,0,1133,125.91
12.74060335,38.9,0,842,142.84
13.03009804,28.8,1,485,203.93
12.32668125,28.9,99,622,279.55
13.61509804,46.6,0,980,109.6
13.63554929,32.0,1,905,176.95
13.77411998,28.4,0,957,97.59
14.32028804,39.9,64,1051,970.12
12.87394335,27.9,0,804,218.17
11.20612804,27.4,1,458,232.32
14.20721929,42.0,24,729,218.31
13.03021124,47.3,18,1132,194.9
13.43918125,39.5,0,389,78.74
11.47418125,39.4,0,281,59.66
11.28103,13.5,0,657,24.98
14.06394335,35.3,1,1350,76.59
14.24411998,40.9,0,470,-0.84
14.08918125,41.3,0,1075,84.28
13.14739269,33.4,-49,671,226.06
12.49538999,23.3,6,512,295.27
13.91412804,30.2,0,1156,495.08
12.2625,43.5,29,955,150.47
14.92544892,29.0,0,785,138.29
12.57563,61.0,1,459,264.47
13.91144335,30.9,2,565,795.36
13.77939269,40.1,32,1234,291.33
12.06612804,52.6,0,745,228.44
14.20603,41.7,31,811,501.49
11.25897,47.4,0,605,142.33
13.61887929,41.1,1,1214,251.31
11.36394335,35.3,0,832,41.37
15.28424251,52.0,-50,515,31.1
14.37221929,39.7,1,808,101.46
11.82862804,32.5,43,356,550.7
11.01141999,36.0,1,1115,277.51
14.02897,47.8,0,641,26.08
13.57939269,35.9,40,509,352.73
13.36139269,34.4,32,760,381.22
14.48903,34.9,1,542,487.79
13.77471929,38.7,3,642,680.34
11.77584125,36.0,32,975,272.26
11.79394335,51.4,1,507,96.91
13.62411998,33.1,-50,610,38.5
12.40918125,49.9,0,537,125.01
11.95911998,32.2,1,929,212.67
10.30709804,14.8,2,866,490.7
14.36518125,20.3,1,793,574.68
12.56518125,-7.2,1,763,390.09
12.30894335,39.0,0,750,241.09
13.34139269,30.1,0,911,39.3
13.62411998,36.4,54,667,108.03
15.1820836,41.1,0,614,190.55
13.54021929,27.2,82,518,366.09
12.59009804,20.9,1,1105,304.0
12.13509804,51.8,0,901,211.72
13.81021124,2.0,0,542,13.63
14.42521124,41.9,52,463,600.6
12.40103,33.0,2,1206,468.34
12.20838335,25.9,-48,796,727.25
11.42251125,38.9,1,452,243.62
12.91918125,53.2,1,870,94.99
13.36918125,42.6,0,940,62.39
14.33242268,38.8,0,531,14.83
14.93221929,37.0,0,1115,49.74
12.57193251,34.1,14,772,602.61
13.17418125,36.6,1,986,137.19
12.49394335,32.1,0,947,22.07
11.96394335,47.7,0,620,20.52
12.76418125,44.7,1,513,100.46
12.67139269,30.7,50,728,28.8
14.60621929,44.9,5,678,380.65
14.63411998,33.9,0,397,73.91
13.99945804,26.7,1,411,231.75
13.73411998,42.2,0,928,88.88
14.48744998,24.3,1,528,121.75
12.34509804,34.3,0,602,117.26
12.72509804,22.9,3,829,114.39
11.61436,29.2,1,706,261.51
15.82021124,37.4,0,286,110.37
10.72,33.9,30,671,63.53
12.07021124,32.8,1,589,93.61
13.27639269,23.4,1,735,133.28
13.04172784,33.7,0,312,26.92
13.56103998,20.9,-32,881,1025.71
13.04312125,33.9,124,689,285.84
13.82908268,29.5,91,273,379.86
14.53354124,37.7,5,512,233.9
13.65612804,39.0,6,942,417.38
12.32769,34.0,9,740,308.4
12.63318125,32.2,69,529,191.77
12.57727335,37.5,1,375,254.76
14.38945804,42.5,2,570,70.95
12.36097,19.5,2,1185,546.86
13.56509804,43.7,0,647,65.88
13.25077998,37.7,0,159,196.6
14.41744998,39.3,0,631,294.04
14.24911998,39.7,1,588,659.52
12.09205999,41.1,0,1107,35.8
11.90603,42.5,1,894,129.95
12.70424251,38.9,0,236,61.64
15.11411998,29.1,0,288,199.23
13.26394335,50.5,0,622,23.98
12.79897,30.5,1,545,162.18
14.20509804,42.5,0,1101,255.77
11.29918125,32.8,4,834,211.24
13.32887929,40.8,36,437,198.36
12.88221929,45.9,0,654,30.72
14.69721929,39.3,1,769,283.31
12.68521124,33.4,1,1058,273.32
13.0387536,51.7,0,1008,211.35
11.02578598,36.4,57,864,551.29
12.57172784,-13.9,0,550,38.69
13.54411998,29.3,1,1038,616.59
15.18271124,38.8,66,1098,290.72
13.77139269,38.9,0,493,100.28
10.12911998,38.6,1,939,150.47
12.36712125,38.7,0,835,114.6
12.14509804,32.2,1,1008,393.82
13.18639269,35.7,1,432,312.59
13.87424251,34.8,0,641,37.34
10.41078598,45.4,0,621,264.04
13.51527251,39.6,2,1085,596.04
11.63,43.2,0,1072,146.31
12.40897,27.7,0,577,95.21
10.11536384,15.2,8,607,959.36
11.44411998,39.0,19,306,379.84
11.28221929,32.3,0,668,100.73
13.53918125,34.6,0,607,202.14
12.67889269,21.6,64,951,460.61
13.25326804,28.9,31,792,406.91
12.30044892,42.5,28,354,209.16
13.45612804,37.2,0,299,112.07
13.59221929,45.8,0,1129,58.22
12.68103,30.9,0,595,73.64
12.77554929,47.8,1,477,333.62
13.70615125,40.3,21,1054,339.54
12.22744998,35.8,22,931,238.45
10.96118125,24.2,1,295,640.85
13.12021124,29.3,0,497,41.75
12.69839998,35.7,2,652,501.21
12.8770836,42.5,1,1059,533.32
13.22103,17.9,0,1037,200.58
16.97221929,49.8,0,825,36.1
13.63897,24.2,0,310,92.05
13.15458804,37.0,67,755,982.61
11.40411998,40.3,25,629,438.07
13.68718125,28.2,2,243,467.27
13.35103,28.6,0,356,70.49
13.35394335,42.6,1,320,91.29
12.17721929,33.4,32,602,671.42
12.03612804,30.6,0,642,34.36
12.93611998,49.6,89,692,204.06
11.07918125,40.4,1,972,290.14
11.79509804,41.4,0,724,73.31
12.31353,33.2,-48,921,376.69
11.15099125,26.7,45,730,950.49
11.93575268,17.3,103,766,974.17
13.6387536,48.2,0,1140,117.54
14.0562536,38.0,4,901,371.89
13.39712125,34.7,5,875,54.22
11.10103,42.1,0,598,64.76
13.16,41.9,0,991,64.46
11.29411998,38.3,19,669,238.83
12.50411998,34.3,0,398,359.88
13.42221929,32.5,0,936,302.11
15.51221929,45.3,0,946,30.0
15.64744998,35.8,47,618,440.38
14.83384804,19.9,98,801,400.44
13.52103,46.5,0,769,53.11
16.66077998,51.1,0,822,62.65
14.31211998,47.4,1,513,335.6
13.01027251,46.9,1,977,66.46
12.74911998,36.7,0,208,101.24
11.72758892,47.9,30,740,461.43
11.12751125,31.8,0,489,405.52
9.784119983,32.0,0,626,127.24
11.58355804,24.3,3,786,927.77
10.87221929,-19.8,0,627,92.23
